"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"JOB START DATE","JOB END DATE","TOTAL BASE WATER VOLUME","TOTAL BASE NON-WATER VOLUME","FRACFOCUS VERSION"
"=""35037286750000""",Slick-tucker,1-31,"Mid-con Energy Operating Llc",OK,Creek,2014-10-10,2014-10-10,4200,0,2
"=""35037288490000""",Miller,A-16,"Mid-con Energy Operating Llc",OK,Creek,2017-04-20,2017-04-20,38682,0,3
"=""35037292030000""",Miller,A-18,"Mid-con Energy Operating Llc",OK,Creek,2014-08-11,2014-08-11,15120,0,2
"=""35037292040000""",Miller,A-17,"Mid-con Energy Operating Llc",OK,Creek,2014-11-14,2014-11-14,17136,0,2
"=""35037291700000""","Gear Swd",1,"Eagle Road Oil Llc",OK,Creek,2014-03-31,2014-03-31,109536,191,2
"=""35037292560000""","A. Miller",20,"Mid-con Energy Operating Llc",OK,Creek,2015-10-07,2015-10-07,23103,0,2
"=""35037292630000""","A Miller",22,"Mid-con Energy Operating Llc",OK,Creek,2014-12-22,2014-12-22,33642,0,2
"=""35037292370000""","M Farris",34,"Mid-con Energy Operating Llc",OK,Creek,2015-01-06,2015-01-06,12810,0,2
"=""35037292380000""",Sears,1-33h,"Eagle Road Oil Llc",OK,Creek,2014-09-28,2014-10-01,186805,667590,2
"=""35037292440000""",Davis,1-33h,"Eagle Road Oil Llc",OK,Creek,2014-11-03,2014-11-05,616812,17745700,2
"=""35117236160000""",Bunch,5,"Mid-con Energy Operating Llc",OK,Creek,2014-08-20,2014-08-20,42882,0,2
"=""35003227110000""","Lansdown 2612",2h-19,"Midstates Petroleum Co Llc",OK,Creek,2014-03-30,2014-03-30,627476,0,2
"=""35037292140000""","Vanmeter Swd",1-33,"Eagle Road Oil Llc",OK,Creek,2014-08-22,2014-08-22,186816,146538,2
"=""35037358900000""","Amy Simpson",12,"Mid-con Energy Operating Llc",OK,Creek,2014-07-25,2014-07-25,17850,0,2
"=""35037291820000""",Gear,1-8h,"Eagle Road Oil Llc",OK,Creek,2014-04-03,2014-04-08,824166,2823,2
"=""35037291890000""",Elephant,1-5h,"U S Energy Development Corporation",OK,Creek,2015-10-16,2015-10-20,4840580,0,2
"=""35037292280000""",Vance,3,"Mid-con Energy Operating Llc",OK,Creek,2014-08-27,2014-08-27,14616,0,2
"=""35037287530000""",Wilson,B-24,"Mid-con Energy Operating Llc",OK,Creek,2014-04-05,2014-04-05,19152,0,2
"=""35037288430000""",Miller,A-15,"Mid-con Energy Operating Llc",OK,Creek,2014-07-02,2014-07-02,50400,0,2
"=""35037162910000""","Amy Simpson (mc Bride)",17,"Mid-con Energy Operating Llc",OK,Creek,2014-03-12,2014-03-12,17850,0,2
"=""35037288430000""",Miller,A-15,"Mid-con Energy Operating Llc",OK,Creek,2014-07-02,2014-07-02,50400,0,2
"=""35037288430000""",Miller,A-15,"Mid-con Energy Operating Llc",OK,Creek,2014-10-15,2014-10-15,17472,0,2
"=""35037292910000""","Dar-lin (dar-lin 14-i)",14,"Hall Greg Oil & Gas Llc",OK,Creek,2015-08-04,2015-08-04,12096,0,2
"=""35037292950000""",Dar-lin,11,"Hall Greg Oil & Gas Llc",OK,Creek,2015-10-29,2015-10-29,13062,0,2
"=""35037292670000""","M Farris",35,"Mid-con Energy Operating Llc",OK,Creek,2015-03-04,2015-03-04,15120,0,2
"=""35037292170000""",Case,1-29h,"Eagle Road Oil Llc",OK,Creek,2014-07-28,2014-08-02,959532,27967000,2
"=""35037292030000""",Miller,A-18,"Mid-con Energy Operating Llc",OK,Creek,2014-08-18,2014-08-18,28224,0,2
"=""35037358890000""","Mc Bride Fee(amy Simpson 11)",11,"Mid-con Energy Operating Llc",OK,Creek,2014-09-29,2014-09-29,16968,0,2
"=""35037395990000""",Farris,20,"Mid-con Energy Operating Llc",OK,Creek,2014-03-12,2014-03-12,18354,0,2
"=""35037012430000""","Joseph Mays",B-11,"Mountain Creek Energy Inc",OK,Creek,2015-07-21,2015-07-21,36456,0,2
"=""35037010090000""","Ella Jones",37,"Mid-con Energy Operating Llc",OK,Creek,2014-10-01,2014-10-01,17136,0,2
"=""35037018080000""",Mikey,14,"Yarhola Production Company",OK,Creek,2017-04-25,2017-04-25,9030,0,3
"=""35011235570000""",Slagell,1-32-29xh,"Continental Resources Inc",OK,Creek,2016-06-29,2016-06-29,23953000,0,2
"=""35003227110000""","Lansdown 2612",2h-19,"Midstates Petroleum Co Llc",OK,Creek,2013-11-06,2013-11-06,324075,0,2
"=""35029212770000""",Caitlin,6h-30,"Pablo Energy Ii Llc",OK,Creek,2015-01-19,2015-01-19,3956380,25500,2
"=""35037287640000""",Miller,A-14,"Mid-con Energy Operating Llc",OK,Creek,2014-03-26,2014-03-26,33306,0,2
"=""35037291850000""","Anthis Swd",1,"Eagle Road Oil Llc",OK,Creek,2014-09-29,2014-09-29,4200,34,2
"=""35037291500000""",Wheeler,1-20h,"Eagle Road Oil Llc",OK,Creek,2013-12-03,2013-12-05,5311320,7214,2
"=""35037293010000""",Dar-lin,9,"Hall Greg Oil & Gas Llc",OK,Creek,2015-09-18,2015-09-18,20000,17990,2
"=""35037293030000""",Anderson,15-1,"Anthis Land Company Llc",OK,Creek,2015-11-04,2015-11-04,11004,0,2
