"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"INJECTION DATE","INJECTED FLUID","INJECTED VOLUME","INJECTED VOLUME UNITS","TOP OF INJECTION INTERVAL, FEET","BOTTOM OF INJECTION INTERVAL, FEET","INJECTION UNIT NAME"
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-09-01,Water,0,BBL,2360,2383,Wiley
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-08-01,Water,0,BBL,2360,2383,Wiley
"=""35037003990000""",Wiley,3,"Topsail Secondary Recovery Llc",OK,Creek,2016-01-01,Water,0,BBL,2360,2383,Wiley
"=""35037281500000""",Mussellem,32,"Berexco Llc",OK,Creek,2016-12-01,Water,285291,BBL,2789,3300,Mussellem
"=""35037281500000""",Mussellem,32,"Berexco Llc",OK,Creek,2016-04-01,Water,264360,BBL,2789,3300,Mussellem
"=""35037281610000""","Shelton Ponder Dutcher Sand U.",2725-w,"Holloway David A",OK,Creek,2016-12-01,Water,10850,BBL,2500,2534,"Shelton Ponder Dutcher Sand U."
"=""35037281650000""","Polecat Creek R.f.(babie Crow)",3413w,"Holloway David A",OK,Creek,2016-05-01,Water,0,BBL,2000,2030,"Polecat Creek R.f.(babie Crow)"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-12-01,Water,1935,BBL,2140,2153,"Jackson A"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-10-01,Water,1955,BBL,2140,2153,"Jackson A"
"=""35037280880000""","Jackson A",1,"Eagle River Energy Corporation",OK,Creek,2016-05-01,Water,1955,BBL,2140,2153,"Jackson A"
"=""35037281090000""","Depew Storage W.i.w.",6,"Oneok Gas Storage Llc",OK,Creek,2016-10-01,Water,17577,BBL,3298,3390,"Depew Storage W.i.w."
"=""35037281090000""","Depew Storage W.i.w.",6,"Oneok Gas Storage Llc",OK,Creek,2016-02-01,Water,14167,BBL,3298,3390,"Depew Storage W.i.w."
"=""35037282700000""","Lost Indian",1a,"Eig Petroleum Llc",OK,Creek,2016-04-01,Other,0,,1252,1302,"Lost Indian"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-12-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-07-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-04-01,Water,7500,BBL,2954,2964,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,2016-02-01,Water,7000,BBL,2954,2964,"Columbus Swampter"
"=""35037273130000""","Lussie Heneha",5-a,"Xanadu Exploration Company",OK,Creek,2016-10-01,Water,22,BBL,2320,2340,"Lussie Heneha"
"=""35037273390000""",Richardson,1,"Proven Reserves Management Inc",OK,Creek,2016-12-01,Water,0,BBL,4057,4117,Richardson
