"API NUMBER","WELL NAME","WELL NUMBER",OPERATOR,STATE,COUNTY,"NUMBER OF DAYS ONLINE","CO2, MSCF","SULFUR, LONG TONS","PRODUCTION DATE","OIL, BARRELS","GAS, MSCF","WATER, BARRELS","PRODUCING UNIT NAME"
"=""35029212770000""",Caitlin,6h-30,"Pablo Energy Ii Llc",OK,Creek,,,,2017-01-01,0,22994,,Caitlin
"=""35037280650000""",Avatar,1,"Hoyt Oil & Gas Llc",OK,Creek,,,,2017-01-01,0,143,,Avatar
"=""35037272540000""",Allen,3,"Denham Operating Company",OK,Creek,,,,2017-04-01,0,0,,Allen
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2017-03-01,0,0,,Williams
"=""35037272650000""",Williams,5,"Shelton Dempsey L",OK,Creek,,,,2017-01-01,0,0,,Williams
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,,,,2017-06-01,0,0,,"Columbus Swampter"
"=""35037270590000""","Columbus Swampter",1,"Sparks Resources Inc",OK,Creek,,,,2017-02-01,0,0,,"Columbus Swampter"
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2017-05-01,0,0,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2017-04-01,0,0,,Gressett
"=""35037284690000""",Gressett,7,"Withrow Oil Company Inc",OK,Creek,,,,2017-02-01,0,0,,Gressett
"=""35037283860000""",Bishop,4,"United Energy & Exploration Llc",OK,Creek,,,,2017-07-01,0,2231,,Bishop
"=""35037283860000""",Bishop,4,"United Energy & Exploration Llc",OK,Creek,,,,2017-06-01,0,2168,,Bishop
"=""35037283930001""",Creek,1,"Petrojen Production Company Inc",OK,Creek,,,,2017-04-01,0,0,,Creek
"=""35037283470000""","Lost Indian",2,"Eig Petroleum Llc",OK,Creek,,,,2017-03-01,0,0,,"Lost Indian"
